mean_test_score,std_test_score,params
-12713048.236033019,1050444.2404534908,"{'doc_topic_prior': 0.12246925172545775, 'learning_offset': 42.936564106507426, 'n_components': 14, 'topic_word_prior': 0.8894895831552581}"
-12695192.926678872,1047662.1922490433,"{'doc_topic_prior': 0.8373986825327147, 'learning_offset': 50.727836635620285, 'n_components': 14, 'topic_word_prior': 0.012842900659330136}"
-12778751.661484517,1078700.9687090209,"{'doc_topic_prior': 0.39107048660397303, 'learning_offset': 54.06028475400152, 'n_components': 9, 'topic_word_prior': 0.06761739037782155}"
-12670627.239217695,1050531.062850886,"{'doc_topic_prior': 0.41222948099047985, 'learning_offset': 91.86860557710408, 'n_components': 16, 'topic_word_prior': 0.4890108026487656}"
-12839002.703803698,1073544.7620788247,"{'doc_topic_prior': 0.8387933849302702, 'learning_offset': 65.49550904704746, 'n_components': 8, 'topic_word_prior': 0.8947303138113302}"
-12758667.812319921,1050104.674559688,"{'doc_topic_prior': 0.27506917734206915, 'learning_offset': 43.875365804729775, 'n_components': 11, 'topic_word_prior': 0.9673306224691209}"
-12707857.650643295,1049039.1252548832,"{'doc_topic_prior': 0.6801782077844617, 'learning_offset': 26.54815391242329, 'n_components': 14, 'topic_word_prior': 0.6573087723900943}"
-12752794.976980535,1048893.0530162456,"{'doc_topic_prior': 0.3287094284099852, 'learning_offset': 29.53325523522832, 'n_components': 10, 'topic_word_prior': 0.7452470612184091}"
-12675659.114585023,1059974.4759965707,"{'doc_topic_prior': 0.73544623886862, 'learning_offset': 92.45412884409566, 'n_components': 14, 'topic_word_prior': 0.1079632535228453}"
-12736493.387327153,1043974.1357593252,"{'doc_topic_prior': 0.2994912602346441, 'learning_offset': 60.94317637248569, 'n_components': 12, 'topic_word_prior': 0.9014081347555966}"
